supplier_id,supplier_name,industry,country,city,years_in_business,employees,tier,profile,persona,status,trust_score,risk_level,financial_score,delivery_score,quality_score,compliance_score,news_risk_score,failure_probability,confidence,last_updated
SUP000001,Phoenix Micro Industries,Semiconductor,Vietnam,Da Nang,5,428,Tier-2,Declining,Operationally Weak,ACTIVE,80,LOW,70,100,56,74,0,0.2,0.89,2025-12-31
SUP000002,Orion Precision Technologies,Automotive,India,Pune,13,1571,Tier-1,Premium,Compliance Champion,ACTIVE,98,LOW,96,100,96,99,0,0.02,0.93,2025-12-31
SUP000003,Apex Energy Industries,Battery,Japan,Tokyo,15,2260,Tier-1,Premium,Market Leader,ACTIVE,98,LOW,98,100,96,97,0,0.02,0.96,2025-12-31
SUP000004,Zenith Containers Pvt Ltd,Packaging,India,Hyderabad,2,132,Tier-2,Growing,Fast Growing Startup,ACTIVE,94,LOW,92,100,90,81,0,0.06,0.95,2025-12-31
SUP000005,Prime Semiconductors Industries,Semiconductor,China,Shanghai,21,1629,Tier-2,Stable,Cost Efficient,ACTIVE,94,LOW,92,100,85,95,0,0.06,0.85,2025-12-31
SUP000006,Apex Batteries Corporation,Battery,India,Bangalore,4,509,Tier-2,Growing,Innovation Driven,ACTIVE,81,LOW,92,42,96,84,0,0.19,0.92,2025-12-31
SUP000007,Sterling Foundry Pvt Ltd,Steel,USA,Houston,10,388,Tier-1,Growing,Innovation Driven,ACTIVE,92,LOW,83,100,96,82,0,0.08,0.82,2025-12-31
SUP000008,Phoenix Chemicals Pvt Ltd,Chemical,India,Hyderabad,21,1898,Tier-3,Stable,Legacy Manufacturer,ACTIVE,89,LOW,85,100,84,93,25,0.11,0.79,2025-12-31
SUP000009,Omega Motors Pvt Ltd,Automotive,Vietnam,Hanoi,1,168,Tier-3,New,Logistics Sensitive,ACTIVE,89,LOW,82,100,75,92,0,0.11,0.91,2025-12-31
SUP000010,Orion Micro Industries,Semiconductor,India,Bangalore,19,769,Tier-2,Declining,Operationally Weak,ACTIVE,76,LOW,52,100,60,89,0,0.49,0.86,2025-12-31
SUP000011,Phoenix Precision Enterprises,Automotive,China,Shenzhen,23,7490,Tier-1,Premium,Market Leader,ACTIVE,97,LOW,96,100,97,84,0,0.03,0.97,2025-12-31
SUP000012,Phoenix Semiconductors Industries,Semiconductor,Japan,Yokohama,13,1447,Tier-3,Stable,Logistics Sensitive,ACTIVE,90,LOW,83,100,84,79,0,0.1,0.84,2025-12-31
SUP000013,Sterling Labs Enterprises,Chemical,India,Hyderabad,2,214,Tier-3,New,Innovation Driven,ACTIVE,88,LOW,80,100,91,62,0,0.12,0.85,2025-12-31
SUP000014,Titan Textiles Corporation,Textile,South Korea,Daegu,18,1602,Tier-1,Stable,Compliance Champion,ACTIVE,90,LOW,83,100,78,98,0,0.1,0.8,2025-12-31
SUP000015,Titan Precision Enterprises,Automotive,India,Bangalore,12,2096,Tier-1,Premium,Quality Focused,ACTIVE,96,LOW,94,100,96,83,0,0.04,0.82,2025-12-31
SUP000016,Vertex Foundry Enterprises,Steel,India,Chennai,12,267,Tier-2,High Risk,Financially Fragile,UNDER_REVIEW,69,MEDIUM,38,100,60,52,0,0.56,0.83,2025-12-31
SUP000017,Titan Electronics Technologies,Semiconductor,China,Shanghai,7,592,Tier-1,Growing,Customer Centric,ACTIVE,92,LOW,85,100,92,78,0,0.08,0.85,2025-12-31
SUP000018,Sterling Precision Group,Automotive,Vietnam,Hanoi,18,1397,Tier-2,Declining,Financially Fragile,ACTIVE,77,LOW,52,100,74,70,0,0.33,0.93,2025-12-31
SUP000019,Vertex Motors Pvt Ltd,Automotive,USA,Chicago,31,649,Tier-2,Declining,Legacy Manufacturer,ACTIVE,78,LOW,54,100,79,86,0,0.37,0.87,2025-12-31
SUP000020,Zenith Logistics Group,Logistics,India,Chennai,28,513,Tier-3,Stable,Legacy Manufacturer,ACTIVE,91,LOW,83,100,84,96,0,0.09,0.87,2025-12-31
SUP000021,Delta Packaging Enterprises,Packaging,Germany,Ludwigshafen,23,1420,Tier-3,Stable,Legacy Manufacturer,ACTIVE,89,LOW,81,100,85,81,0,0.11,0.94,2025-12-31
SUP000022,Falcon Electronics Corporation,Semiconductor,India,Pune,13,1299,Tier-2,Declining,Operationally Weak,ACTIVE,78,LOW,58,100,71,70,0,0.22,0.93,2025-12-31
SUP000023,Vertex Textiles Enterprises,Textile,China,Shanghai,9,901,Tier-1,Growing,Customer Centric,ACTIVE,94,LOW,90,100,85,97,0,0.06,0.96,2025-12-31
SUP000024,Delta Logistics Enterprises,Logistics,Germany,Munich,10,1225,Tier-2,Declining,Operationally Weak,ACTIVE,71,MEDIUM,55,100,51,70,0,0.39,0.88,2025-12-31
SUP000025,Delta Labs Industries,Chemical,China,Guangzhou,30,4447,Tier-1,Premium,Enterprise Leader,ACTIVE,98,LOW,98,100,95,96,0,0.02,0.95,2025-12-31
SUP000026,Falcon Precision Pvt Ltd,Automotive,Germany,Munich,13,965,Tier-3,Stable,Logistics Sensitive,ACTIVE,92,LOW,85,100,87,89,0,0.08,0.79,2025-12-31
SUP000027,Sterling Weaving Corporation,Textile,India,Hyderabad,8,1200,Tier-1,Stable,Customer Centric,ACTIVE,89,LOW,81,100,84,83,0,0.11,0.92,2025-12-31
