news_id,supplier_id,title,severity,impact_score,date,month
EVT_SUP000001_05,SUP000001,IT Operations Cyber Security Incident near operations hub,HIGH,20,2021-05-05,Month_05
EVT_SUP000001_06,SUP000001,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2021-06-22,Month_06
EVT_SUP000001_08,SUP000001,IT Operations Cyber Security Incident near operations hub,HIGH,20,2021-08-10,Month_08
EVT_SUP000001_30,SUP000001,Factory Fire Incidents near operations hub,CRITICAL,30,2023-06-10,Month_30
EVT_SUP000001_51,SUP000001,Regional Port Congestion delays near operations hub,MEDIUM,10,2025-03-23,Month_51
EVT_SUP000003_51,SUP000003,IT Operations Cyber Security Incident near operations hub,HIGH,20,2025-03-21,Month_51
EVT_SUP000004_23,SUP000004,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2022-11-23,Month_23
EVT_SUP000004_59,SUP000004,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2025-11-05,Month_59
EVT_SUP000005_26,SUP000005,Factory Fire Incidents near operations hub,CRITICAL,30,2023-02-09,Month_26
EVT_SUP000006_10,SUP000006,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2021-10-21,Month_10
EVT_SUP000006_36,SUP000006,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2023-12-12,Month_36
EVT_SUP000006_50,SUP000006,Local Power Grid Failures near operations hub,MEDIUM,12,2025-02-12,Month_50
EVT_SUP000007_25,SUP000007,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2023-01-25,Month_25
EVT_SUP000007_52,SUP000007,Labor Union Strike near operations hub,HIGH,20,2025-04-20,Month_52
EVT_SUP000007_53,SUP000007,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2025-05-18,Month_53
EVT_SUP000008_50,SUP000008,IT Operations Cyber Security Incident near operations hub,HIGH,20,2025-02-09,Month_50
EVT_SUP000008_60,SUP000008,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2025-12-09,Month_60
EVT_SUP000009_29,SUP000009,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2023-05-08,Month_29
EVT_SUP000009_31,SUP000009,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2023-07-06,Month_31
EVT_SUP000009_35,SUP000009,Local Power Grid Failures near operations hub,MEDIUM,12,2023-11-09,Month_35
EVT_SUP000010_21,SUP000010,Regional Port Congestion delays near operations hub,MEDIUM,10,2022-09-21,Month_21
EVT_SUP000010_38,SUP000010,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2024-02-14,Month_38
EVT_SUP000010_55,SUP000010,Labor Union Strike near operations hub,HIGH,20,2025-07-16,Month_55
EVT_SUP000012_33,SUP000012,Local Power Grid Failures near operations hub,MEDIUM,12,2023-09-18,Month_33
EVT_SUP000013_26,SUP000013,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2023-02-13,Month_26
EVT_SUP000016_02,SUP000016,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2021-02-13,Month_02
EVT_SUP000016_23,SUP000016,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2022-11-24,Month_23
EVT_SUP000016_30,SUP000016,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2023-06-06,Month_30
EVT_SUP000016_32,SUP000016,Local Power Grid Failures near operations hub,MEDIUM,12,2023-08-22,Month_32
EVT_SUP000016_36,SUP000016,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2023-12-11,Month_36
EVT_SUP000016_50,SUP000016,IT Operations Cyber Security Incident near operations hub,HIGH,20,2025-02-19,Month_50
EVT_SUP000017_30,SUP000017,IT Operations Cyber Security Incident near operations hub,HIGH,20,2023-06-22,Month_30
EVT_SUP000017_48,SUP000017,Regional Port Congestion delays near operations hub,MEDIUM,10,2024-12-16,Month_48
EVT_SUP000018_16,SUP000018,Local Power Grid Failures near operations hub,MEDIUM,12,2022-04-23,Month_16
EVT_SUP000018_32,SUP000018,Local Power Grid Failures near operations hub,MEDIUM,12,2023-08-18,Month_32
EVT_SUP000018_44,SUP000018,Labor Union Strike near operations hub,HIGH,20,2024-08-08,Month_44
EVT_SUP000019_07,SUP000019,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2021-07-21,Month_07
EVT_SUP000019_45,SUP000019,Factory Fire Incidents near operations hub,CRITICAL,30,2024-09-13,Month_45
EVT_SUP000019_51,SUP000019,Local Power Grid Failures near operations hub,MEDIUM,12,2025-03-16,Month_51
EVT_SUP000019_55,SUP000019,Labor Union Strike near operations hub,HIGH,20,2025-07-20,Month_55
EVT_SUP000020_34,SUP000020,IT Operations Cyber Security Incident near operations hub,HIGH,20,2023-10-17,Month_34
EVT_SUP000021_54,SUP000021,IT Operations Cyber Security Incident near operations hub,HIGH,20,2025-06-10,Month_54
EVT_SUP000022_14,SUP000022,Regional Port Congestion delays near operations hub,MEDIUM,10,2022-02-09,Month_14
EVT_SUP000022_21,SUP000022,Local Power Grid Failures near operations hub,MEDIUM,12,2022-09-05,Month_21
EVT_SUP000022_23,SUP000022,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2022-11-23,Month_23
EVT_SUP000022_24,SUP000022,Regional Port Congestion delays near operations hub,MEDIUM,10,2022-12-25,Month_24
EVT_SUP000022_30,SUP000022,Factory Fire Incidents near operations hub,CRITICAL,30,2023-06-25,Month_30
EVT_SUP000022_31,SUP000022,Local Power Grid Failures near operations hub,MEDIUM,12,2023-07-18,Month_31
EVT_SUP000022_59,SUP000022,Local Power Grid Failures near operations hub,MEDIUM,12,2025-11-17,Month_59
EVT_SUP000023_01,SUP000023,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2021-01-12,Month_01
EVT_SUP000023_16,SUP000023,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2022-04-15,Month_16
EVT_SUP000024_17,SUP000024,Local Power Grid Failures near operations hub,MEDIUM,12,2022-05-09,Month_17
EVT_SUP000024_33,SUP000024,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2023-09-20,Month_33
EVT_SUP000024_38,SUP000024,Factory Fire Incidents near operations hub,CRITICAL,30,2024-02-16,Month_38
EVT_SUP000024_39,SUP000024,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2024-03-22,Month_39
EVT_SUP000024_41,SUP000024,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2024-05-14,Month_41
EVT_SUP000024_53,SUP000024,Local Power Grid Failures near operations hub,MEDIUM,12,2025-05-24,Month_53
EVT_SUP000026_20,SUP000026,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2022-08-14,Month_20
EVT_SUP000027_55,SUP000027,Factory Fire Incidents near operations hub,CRITICAL,30,2025-07-20,Month_55
EVT_SUP000028_37,SUP000028,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2024-01-07,Month_37
EVT_SUP000028_58,SUP000028,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2025-10-08,Month_58
EVT_SUP000029_55,SUP000029,Factory Fire Incidents near operations hub,CRITICAL,30,2025-07-11,Month_55
EVT_SUP000029_60,SUP000029,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2025-12-23,Month_60
EVT_SUP000030_32,SUP000030,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2023-08-19,Month_32
EVT_SUP000030_39,SUP000030,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2024-03-17,Month_39
EVT_SUP000030_45,SUP000030,Local Power Grid Failures near operations hub,MEDIUM,12,2024-09-15,Month_45
EVT_SUP000030_55,SUP000030,IT Operations Cyber Security Incident near operations hub,HIGH,20,2025-07-13,Month_55
EVT_SUP000031_28,SUP000031,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2023-04-25,Month_28
EVT_SUP000031_29,SUP000031,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2023-05-16,Month_29
EVT_SUP000031_30,SUP000031,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2023-06-23,Month_30
EVT_SUP000031_43,SUP000031,Local Power Grid Failures near operations hub,MEDIUM,12,2024-07-23,Month_43
EVT_SUP000032_03,SUP000032,Factory Fire Incidents near operations hub,CRITICAL,30,2021-03-09,Month_03
EVT_SUP000032_09,SUP000032,Local Power Grid Failures near operations hub,MEDIUM,12,2021-09-09,Month_09
EVT_SUP000032_11,SUP000032,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2021-11-10,Month_11
EVT_SUP000032_12,SUP000032,Labor Union Strike near operations hub,HIGH,20,2021-12-08,Month_12
EVT_SUP000032_25,SUP000032,Factory Fire Incidents near operations hub,CRITICAL,30,2023-01-08,Month_25
EVT_SUP000032_28,SUP000032,Regional Port Congestion delays near operations hub,MEDIUM,10,2023-04-24,Month_28
EVT_SUP000032_29,SUP000032,Local Power Grid Failures near operations hub,MEDIUM,12,2023-05-06,Month_29
EVT_SUP000032_31,SUP000032,Labor Union Strike near operations hub,HIGH,20,2023-07-17,Month_31
EVT_SUP000032_32,SUP000032,Regional Port Congestion delays near operations hub,MEDIUM,10,2023-08-22,Month_32
